placenta	chromosome	median_Q1	median_Q2	median_Q3	median_Q4
Plac_CON02	8	0.5081967213114754	0.5	0.4958677685950413	0.5
Plac_CON02	X	0.8150611071171818	0.4006578947368421	0.8917222301035608	0.7885714285714285
Plac_CON03	8	0.5192307692307693	0.51	0.4948453608247423	0.5128205128205128
Plac_CON03	X	0.7427626137303557	0.9393382352941175	0.875	0.9718253968253968
Plac_CON05	8	0.9935849889624724	0.9848484848484848	0.9529346622369879	0.9837129237288136
Plac_CON05	X	1.0	1.0	1.0	1.0
Plac_CON06	8	0.9952082859094014	1.0	1.0	1.0
Plac_CON06	X	1.0	1.0	1.0	1.0
Plac_CON10	8	0.5	0.5042955121633328	0.49389668563709854	0.5
Plac_CON10	X	0.8213716108452951	0.8756443298969072	0.4927183763282087	0.719047619047619
Plac_HDP01	8	1.0	1.0	1.0	1.0
Plac_HDP01	X	1.0	1.0	1.0	1.0
Plac_HDP08	8	0.5	0.5077524038461538	0.5100361300682457	0.5012437810945274
Plac_HDP08	X	0.069047619047619	0.9230769230769232	0.908695652173913	0.161178107606679
Plac_HDP09	8	0.5051734314780736	0.5	0.5155234507596143	0.5
Plac_HDP09	X	0.7213114754098361	0.7745664739884393	0.7368421052631579	0.8421052631578947
Plac_HDP10	8	0.5247524752475248	0.5376344086021505	0.5192307692307693	0.53
Plac_HDP10	X	0.45598364184244505	0.40342636087316935	0.728021978021978	0.8196869355809753
